id,uri,prefLabel,definition
SDN:P02::PTDZ,http://vocab.nerc.ac.uk/collection/P02/current/PTDZ/,Temperature variation in the water column,Parameters expressing the variation of temperature in the water column either as a function of space or of time
SDN:P02::AMON,http://vocab.nerc.ac.uk/collection/P02/current/AMON/,Ammonium and ammonia concentration parameters in water bodies,Ammonium and ammonia concentration parameters (including statistical parameters such as standard deviation) in any body of fresh or salt water.
SDN:P02::RBSC,http://vocab.nerc.ac.uk/collection/P02/current/RBSC/,Radar backscatter,"Includes all parameters covering the strength of emitted microwave radiation return, including absolute measurements of returning signal strength as well as parameters expressed as backscatter (the proportion of transmitted signal returned)"
SDN:P02::ATVS,http://vocab.nerc.ac.uk/collection/P02/current/ATVS/,Atmospheric visibility and transparency,"Parameters relating to atmospheric clarity, such as optical transmittance/attenuance, and resultant visibility"
SDN:P02::CXAA,http://vocab.nerc.ac.uk/collection/P02/current/CXAA/,Concentrations of carboxylic acids and carboxylates in the atmosphere,"Parameters quantifying the concentration of acids containing a carboxyl (-C(=O)OH) group, their anions or their salts in any phase of the atmosphere"
SDN:P02::CNTX,http://vocab.nerc.ac.uk/collection/P02/current/CNTX/,Phytoplankton generic biomass in water bodies,"Any parameterisation of biomass (e.g. wet weight, dry weight, carbon, nitrogen etc.) of free-floating autotrophic biological entities designated by terms other than taxonomic names (e.g. microphytoplankton, ciliate, flagellate) in any body of fresh or salt water."
SDN:P02::MTWT,http://vocab.nerc.ac.uk/collection/P02/current/MTWT/,Total metal concentrations in water bodies,Concentration parameters for metal elements in the combined dissolved and particulate phases of any body of fresh or salt water.
SDN:P02::HEAD,http://vocab.nerc.ac.uk/collection/P02/current/HEAD/,Platform or instrument orientation,Parameters that describe the displacement of platforms or instruments in space relative to various origins
SDN:P02::TCFX,http://vocab.nerc.ac.uk/collection/P02/current/TCFX/,"Sedimentation flux of carbon, nitrogen or organic matter in the water column","Fluxes of particulate total, organic and inorganic carbon (including as CaCO3) and nitrogen (often measured as 'total' but assumed to be 'organic'). Organic matter is defined as matter lost on ignition."
SDN:P02::TDIN,http://vocab.nerc.ac.uk/collection/P02/current/TDIN/,Dissolved inorganic nitrogen concentration in the water column,"Total concentration of all dissolved inorganic nitrogen species in the water column, usually derived by summation of individual nutrient concentrations (NO3+NO2+NH4). Some workers may also include urea."
SDN:P02::BLUM,http://vocab.nerc.ac.uk/collection/P02/current/BLUM/,Bioluminescence parameters,Parameters describing the nature and intensity of light generated by biological activity in the water column.
SDN:P02::ZNTC,http://vocab.nerc.ac.uk/collection/P02/current/ZNTC/,Zooplankton non taxonomy-related biomass expressed as carbon per unit volume of the water column,"Zooplankton (mesozooplankton plus larger pelagic animals excluding fish, reptiles and mammals) carbon biomass per unit volume parameters not included in group ZCTC.  Usually used for generic names such as 'mesozooplankton'."
SDN:P02::OPFX,http://vocab.nerc.ac.uk/collection/P02/current/OPFX/,Sedimentation flux of non-metallic inorganic species in the water column,Quantity of any inorganic species such as silicon (opal) and phosphorus passing through unit area of the water column in unit time. Carbon and nitrogen are regarded as organic and explicitly excluded
SDN:P02::GP048,http://vocab.nerc.ac.uk/collection/P02/current/GP048/,Concentration of polychlorobiphenyls (PCBs) in the atmosphere,Parameters quantifying polychlorobiphenyl (PCB) concentrations in all phases of the atmosphere
SDN:P02::FR11,http://vocab.nerc.ac.uk/collection/P02/current/FR11/,Chlorofluorocarbon concentrations in the water column,Concentrations of chlorofluorocarbons (also known as freons or CFCs) in sny body of water
SDN:P02::ALKY,http://vocab.nerc.ac.uk/collection/P02/current/ALKY/,"Alkalinity, acidity and pH of the water column",Parameters quantifying the hydrogen ion concentration in water bodies
SDN:P02::PPAB,http://vocab.nerc.ac.uk/collection/P02/current/PPAB/,Light absorption in the water column,Water column spectral absorption parameters
SDN:P02::NTRI,http://vocab.nerc.ac.uk/collection/P02/current/NTRI/,Nitrite concentration parameters in the water column,Nitrite concentration parameters (including statistical parameters such as standard deviation) in the water column
SDN:P02::WVSP,http://vocab.nerc.ac.uk/collection/P02/current/WVSP/,Spectral wave data parameters,"Parameters for directional and non-directional spectral wave data, excluding wave directions derived from spectral data."
SDN:P02::PHOS,http://vocab.nerc.ac.uk/collection/P02/current/PHOS/,Phosphate concentration parameters in the water column,Phosphate  concentration parameters (including statistical parameters such as standard deviation) in the water column
SDN:P02::FDMS,http://vocab.nerc.ac.uk/collection/P02/current/FDMS/,Gas fluxes between the water column and the atmosphere,Parameters related to the quantification of fluxes of any gaseous species from water column to atmosphere including parameters characterising closely related processes such as bubble formation in the surface layer.
SDN:P02::HEAV,http://vocab.nerc.ac.uk/collection/P02/current/HEAV/,Wave height estimates,"Measurements of wave height that are not based on the statistical analysis of wave records, such as heave, surface roughness and visual height estimates"
SDN:P02::DOXY,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,Dissolved oxygen parameters in the water column,All dissolved oxygen parameters (including saturation and utilisation) for the water column
SDN:P02::ALAT,http://vocab.nerc.ac.uk/collection/P02/current/ALAT/,Horizontal spatial co-ordinates,All forms of horizontal spatial coordinates such as lat/lon and grid references
SDN:P02::APDA,http://vocab.nerc.ac.uk/collection/P02/current/APDA/,Horizontal platform movement,"All parameters relating to horizontal platform travel, including distance run"
SDN:P02::IPHY,http://vocab.nerc.ac.uk/collection/P02/current/IPHY/,Snow and ice physical properties and characteristics,"Parameters related to physical properties (e.g. colour, density, in-situ temperature) or characteristics (e.g. sea ice type) of any kind of water sample that was in its solid state at the time of sampling or measurement"
SDN:P02::R410,http://vocab.nerc.ac.uk/collection/P02/current/R410/,Ocean colour and earth-leaving visible waveband spectral radiation,"Parameters associated with the measurement of ocean colour, including visible waveband satellite spectral radiometer measurements, their calibration measurements (spectral water-leaving radiance and reflectance) and chart colour estimates."
SDN:P02::PPRD,http://vocab.nerc.ac.uk/collection/P02/current/PPRD/,Primary production in the water column,Parameters associated with the quantification of primary production.  This is defined as the fixation of carbon dioxide into either organic or inorganic carbon by living entities and so includes photosynthesis and calcification.
SDN:P02::SIXX,http://vocab.nerc.ac.uk/collection/P02/current/SIXX/,Concentration of silicon species in the water column,Concentration parameters for silicon species (including opal) in all phases of the water column
SDN:P02::LWET,http://vocab.nerc.ac.uk/collection/P02/current/LWET/,Terrestrial water content,Parameters relating to the water held by land masses such as soil and vegetation moisture content
SDN:P02::TCO2,http://vocab.nerc.ac.uk/collection/P02/current/TCO2/,Total dissolved inorganic carbon (TCO2) concentration in the water column,
SDN:P02::LSST,http://vocab.nerc.ac.uk/collection/P02/current/LSST/,Land surface temperature,Parameters relating to land surface temperature including fire and other hot spot location
SDN:P02::HBCH,http://vocab.nerc.ac.uk/collection/P02/current/HBCH/,Habitat characterisation,Parameters specifying the physical or chemical environment of a place where an organism is found.
SDN:P02::EXUV,http://vocab.nerc.ac.uk/collection/P02/current/EXUV/,Biological detritus in the water column suspended particulate material,Parameters quantifying and categorising biological detritus (eg exuvia and faecal pellets) in the water column that have been derived from the water column
SDN:P02::MXLM,http://vocab.nerc.ac.uk/collection/P02/current/MXLM/,Structure and stability of the water column,Parameters describing or predicting water column structure plus parameters quantifying the dynamic stability of that structure
SDN:P02::OZON,http://vocab.nerc.ac.uk/collection/P02/current/OZON/,Ozone and oxygen concentrations in the atmosphere,Ozone and oxygen concentration parameters in any phase of the atmosphere (but usually the gaseous phase)
SDN:P02::SUAT,http://vocab.nerc.ac.uk/collection/P02/current/SUAT/,Sulphur species concentrations in the atmosphere,Concentration of sulphur species (element or compounds) in any phase of the atmosphere. Includes sulphur dioxide.
SDN:P02::MTAT,http://vocab.nerc.ac.uk/collection/P02/current/MTAT/,Metal concentrations in the atmosphere,Concentration of metal elements in any phase of the atmosphere
SDN:P02::WSTR,http://vocab.nerc.ac.uk/collection/P02/current/WSTR/,Wind stress and shear,Parameters related to forces due to interactions between atmosphere and the surface of the earth or between atmospheric air masses
SDN:P02::TMES,http://vocab.nerc.ac.uk/collection/P02/current/TMES/,Metadata parameters,"Data parameters that carry information relating to a measured parameter such as measurement temperatures, integration depths, quantities sampled and incubation durations"
SDN:P02::OCAA,http://vocab.nerc.ac.uk/collection/P02/current/OCAA/,Concentration of other organic contaminants in the atmosphere,Parameters quantifying concentrations of organic contaminants (substances regarded as harmful) other than PCBs and PAHs in all phases of the atmosphere
SDN:P02::MTWD,http://vocab.nerc.ac.uk/collection/P02/current/MTWD/,Dissolved metal concentrations in the water column,Concentrations of metal elements in the dissolved phase of the water column.  This may include a contribution from the particulate phase if this has not been totally removed by filtration and the metal in question is reactive (ie detected as if it were dissolved) to the analytical technique used.
SDN:P02::CING,http://vocab.nerc.ac.uk/collection/P02/current/CING/,Particulate inorganic carbon concentrations in the water column,"Concentrations of inorganic carbon in the particulate phase of the water column as extracted by a fitration technique.  This is the particle-bound concentration per unit volume of the water column. Consequently, it is both a function of the SPM concentration in the water column and the concentration of inorganic carbon per unit weight of the SPM."
SDN:P02::HBEX,http://vocab.nerc.ac.uk/collection/P02/current/HBEX/,Habitat extent,Parameters specifying the vertical and horizontal spatial extent of the ecological character of a place where an organism is found
SDN:P02::COAS,http://vocab.nerc.ac.uk/collection/P02/current/COAS/,Terrestrial mapping,"Parameters relating to the mapping of terrestrial features, including coastlines"
SDN:P02::SLCA,http://vocab.nerc.ac.uk/collection/P02/current/SLCA/,Silicate concentration parameters in the water column,Silicate concentration parameters (including statistical parameters such as standard deviation) in the water column
SDN:P02::ATEM,http://vocab.nerc.ac.uk/collection/P02/current/ATEM/,Atmospheric emissions,Parameters quantifying and describing the release of substances into the atmosphere as a result of human activity
SDN:P02::AYMD,http://vocab.nerc.ac.uk/collection/P02/current/AYMD/,Date and time,All date and time parameters
SDN:P02::ASLV,http://vocab.nerc.ac.uk/collection/P02/current/ASLV/,Sea level,"Measurements and predictions of the displacement of the water column surface from a fixed, stable reference"
SDN:P02::PREX,http://vocab.nerc.ac.uk/collection/P02/current/PREX/,Sea level expressed as pressure,"Measurements of the displacement of the water column surface from a fixed, stable reference expressed as either total pressure or sea pressure"
SDN:P02::ATPC,http://vocab.nerc.ac.uk/collection/P02/current/ATPC/,Atmospheric particulates,"Parameters quantifying and categorising the particulate phases (solids and aerosols) of the atmosphere, excluding chemical composition"
SDN:P02::CLTY,http://vocab.nerc.ac.uk/collection/P02/current/CLTY/,Cloud type,Parameters that classify cloud cover into types such as cumulus and cirrus.
SDN:P02::CHEX,http://vocab.nerc.ac.uk/collection/P02/current/CHEX/,Cloud cover height and extent,Parameters describing the horizontal and vertical extent of cloud cover
SDN:P02::RFVL,http://vocab.nerc.ac.uk/collection/P02/current/RFVL/,Horizontal velocity of the water column (currents),"Parameters expressing the velocity (including scalar speeds and directions) of water column horizontal movement, commonly termed Eulerian currents"
SDN:P02::CDTA,http://vocab.nerc.ac.uk/collection/P02/current/CDTA/,Air temperature,Parameters quantifying the degree of hotness of the atmosphere.  Specifically excludes indirect measurements of other parameters such as wet bulb temperatures.
SDN:P02::VSRA,http://vocab.nerc.ac.uk/collection/P02/current/VSRA/,Visible waveband radiance and irradiance measurements in the atmosphere,Includes visible waveband measurements at discrete wavelengths and PAR integrated values as photon and energy fluxes. Does not include satellite radiometer and associated calibration parameters (e.g. water-leaving radiance and reflectance)
SDN:P02::AALK,http://vocab.nerc.ac.uk/collection/P02/current/AALK/,Concentration of alkanes in the atmosphere,Alkane concentrations in all phases of the atmosphere
SDN:P02::PSAL,http://vocab.nerc.ac.uk/collection/P02/current/PSAL/,Salinity of the water column,Parameters quantifying the concentration of sodium chloride in any body of water at any point between the bed and the atmosphere
SDN:P02::CPWC,http://vocab.nerc.ac.uk/collection/P02/current/CPWC/,Chlorophyll pigment concentrations in water bodies,"Includes all variants of chlorophyll expressed in terms of per unit volume, per unit area of any body of fresh or salt water, or as a relative colour index (e.g. PCI). Does not include data expressed per unit mass of SPM."
SDN:P02::AHGT,http://vocab.nerc.ac.uk/collection/P02/current/AHGT/,Vertical spatial coordinates,"All vertical spatial parameters including depth, height and pressure when used as an independent variable."
